FlightMode:,T:,P:,Sample:
Standby,27.640413,100892.851241,0
Standby,27.645215,100894.026207,1
Standby,27.646787,100893.325396,2
Standby,27.647468,100892.951443,3
Standby,27.646909,100893.800011,4
Standby,27.645530,100892.483926,5
Standby,27.643975,100890.569677,6
Standby,27.646962,100893.284790,7
Standby,27.651292,100893.587249,8
Standby,27.652270,100892.257938,9
Standby,27.652061,100891.268638,10
Standby,27.644447,100891.202618,11
Standby,27.643731,100894.618878,12
Standby,27.637025,100893.607021,13
Standby,27.641688,100892.195515,14
Standby,27.639662,100893.081733,15
Standby,27.640623,100894.175876,16
Standby,27.641845,100894.961591,17
Standby,27.641059,100892.661080,18
Standby,27.638352,100893.474095,19
Standby,27.630477,100893.013720,20
Standby,27.630145,100891.933115,21
Standby,27.636781,100896.570258,22
Standby,27.631612,100893.252830,23
Standby,27.635261,100894.025098,24
Standby,27.631385,100895.197940,25
Standby,27.631507,100894.442929,26
Standby,27.623317,100893.512632,27
Standby,27.628189,100895.581635,28
Standby,27.625814,100894.552882,29
Standby,27.630529,100895.820064,30
Standby,27.623474,100892.350296,31
Standby,27.629900,100896.237699,32
Standby,27.626670,100895.320056,33
Standby,27.626914,100896.732351,34
Standby,27.626914,100895.247247,35
Standby,27.630145,100894.456210,36
Standby,27.632677,100897.708041,37
Standby,27.630005,100896.293184,38
Standby,27.628608,100894.046992,39
Standby,27.623334,100894.682274,40
Standby,27.616157,100893.468547,41
Standby,27.614550,100894.927901,42
Standby,27.620610,100895.379493,43
Standby,27.620261,100894.917756,44
Standby,27.617921,100894.727218,45
Standby,27.613642,100893.462321,46
Standby,27.615057,100893.349055,47
Standby,27.612333,100894.477392,48
Standby,27.615231,100895.575979,49
Standby,27.613241,100894.553720,50
Standby,27.610901,100895.768382,51
Standby,27.613206,100893.140652,52
Standby,27.609137,100895.228285,53
Standby,27.606168,100893.970283,54
Standby,27.596057,100893.837645,55
Standby,27.595760,100893.228021,56
Standby,27.592809,100892.293305,57
Standby,27.580585,100892.132760,58
Standby,27.585771,100893.729530,59
Standby,27.588845,100894.595930,60
Standby,27.593525,100895.839377,61
Standby,27.581178,100892.872959,62
Standby,27.586941,100893.465560,63
Standby,27.582855,100892.291694,64
Standby,27.585055,100893.903932,65
Standby,27.579799,100891.748571,66
Standby,27.585300,100894.725317,67
Standby,27.587587,100895.558816,68
Standby,27.589700,100894.756308,69
Standby,27.583658,100893.797527,70
Standby,27.585073,100891.927892,71
Standby,27.586836,100893.889102,72
Standby,27.587535,100892.034182,73
Standby,27.593053,100895.094699,74
Standby,27.587587,100892.908204,75
Standby,27.588810,100892.464392,76
Standby,27.587343,100892.581810,77
